id, class, score, x, y, w, h
0, car, 0.89, 860, 507, 239, 221
1, car, 0.86, 1294, 660, 333, 285
2, car, 0.81, 1460, 603, 368, 246
3, car, 0.76, 623, 276, 120, 89
4, car, 0.73, 727, 379, 186, 158
5, car, 0.71, 356, 91, 49, 47
6, truck, 0.71, 1091, 749, 423, 365
7, truck, 0.67, 567, 531, 192, 223
8, car, 0.66, 1778, 1024, 206, 100
9, car, 0.63, 556, 190, 101, 96
10, car, 0.61, 440, 258, 112, 87
11, person, 0.60, 1565, 386, 33, 83
12, person, 0.59, 1312, 313, 20, 35
13, truck, 0.57, 253, 73, 109, 142
14, person, 0.56, 41, 224, 34, 84
15, car, 0.56, 1009, 421, 257, 242
16, car, 0.56, 1908, 750, 78, 169
17, person, 0.55, 1672, 424, 51, 69
18, truck, 0.51, 783, 205, 134, 160
19, person, 0.49, 1353, 311, 26, 38
20, car, 0.48, 524, 160, 82, 58
21, person, 0.47, 1752, 445, 48, 72
22, person, 0.46, 1195, 211, 22, 56
23, car, 0.43, 565, 528, 194, 220
24, person, 0.42, 1423, 322, 10, 25
25, car, 0.41, 139, 36, 55, 44
