id, class, score, x, y, w, h
0, car, 0.78, 573, 241, 71, 66
1, person, 0.62, 816, 420, 41, 116
2, person, 0.61, 884, 458, 49, 110
3, person, 0.60, 185, 311, 23, 69
4, person, 0.59, 834, 365, 36, 89
5, person, 0.59, 765, 430, 35, 117
6, car, 0.58, 126, 399, 265, 139
7, person, 0.58, 404, 510, 30, 58
8, person, 0.56, 476, 374, 37, 62
9, truck, 0.56, 385, 265, 70, 101
10, person, 0.55, 300, 377, 28, 34
11, backpack, 0.54, 821, 440, 27, 39
12, car, 0.52, 594, 197, 46, 40
13, person, 0.51, 207, 309, 26, 71
14, motorbike, 0.49, 591, 144, 6, 20
15, person, 0.49, 272, 336, 28, 66
16, handbag, 0.48, 136, 319, 7, 24
17, person, 0.48, 137, 305, 24, 56
18, truck, 0.48, 528, 201, 43, 50
19, handbag, 0.48, 880, 480, 19, 24
20, handbag, 0.48, 222, 332, 11, 17
21, truck, 0.47, 497, 164, 32, 31
22, handbag, 0.47, 907, 478, 22, 41
23, car, 0.47, 528, 201, 43, 50
24, car, 0.46, 474, 194, 38, 34
25, car, 0.46, 385, 265, 70, 101
26, car, 0.45, 615, 147, 24, 22
27, person, 0.44, 830, 315, 29, 65
28, handbag, 0.43, 234, 349, 15, 25
29, person, 0.43, 542, 173, 9, 13
30, person, 0.43, 174, 317, 15, 47
31, bicycle, 0.43, 486, 415, 21, 43
32, person, 0.43, 250, 321, 16, 53
33, traffic light, 0.43, 376, 194, 9, 18
34, person, 0.42, 637, 152, 11, 35
35, car, 0.42, 400, 244, 52, 30
36, backpack, 0.42, 748, 325, 19, 29
37, traffic light, 0.41, 479, 164, 12, 26
