id, class, score, x, y, w, h
0, car, 0.87, 706, 372, 247, 81
1, person, 0.81, 476, 360, 46, 118
2, person, 0.73, 570, 360, 33, 100
3, person, 0.71, 415, 360, 39, 114
4, person, 0.70, 62, 356, 55, 124
5, person, 0.65, 522, 366, 47, 123
6, backpack, 0.55, 61, 374, 25, 40
7, handbag, 0.52, 652, 406, 14, 22
8, car, 0.52, 132, 365, 42, 30
9, person, 0.52, 324, 373, 47, 110
10, person, 0.51, 609, 371, 22, 65
11, umbrella, 0.50, 232, 361, 34, 16
12, person, 0.46, 294, 358, 26, 85
13, umbrella, 0.46, 328, 365, 59, 18
14, person, 0.45, 692, 368, 20, 54
15, handbag, 0.44, 120, 388, 17, 27
16, person, 0.44, 260, 363, 19, 50
17, person, 0.43, 11, 370, 36, 101
18, handbag, 0.43, 605, 396, 17, 19
19, handbag, 0.42, 357, 426, 12, 20
20, traffic light, 0.42, 549, 230, 29, 23
21, person, 0.42, 522, 357, 14, 43
22, car, 0.41, 174, 367, 56, 32
