id, class, score, x, y, w, h
0, car, 0.68, 889, 400, 92, 107
1, car, 0.67, 1319, 617, 308, 279
2, car, 0.65, 1166, 481, 150, 128
3, person, 0.64, 1397, 463, 35, 44
4, car, 0.63, 1027, 381, 84, 88
5, car, 0.61, 1351, 507, 181, 145
6, car, 0.59, 1194, 370, 83, 83
7, person, 0.58, 780, 301, 14, 38
8, car, 0.58, 1552, 651, 336, 263
9, person, 0.58, 752, 458, 34, 79
10, person, 0.58, 1335, 455, 40, 63
11, person, 0.57, 1143, 400, 29, 53
12, car, 0.56, 1242, 903, 327, 167
13, car, 0.55, 1114, 330, 61, 50
14, person, 0.54, 1288, 469, 37, 63
15, car, 0.54, 1015, 307, 57, 54
16, person, 0.54, 634, 566, 44, 53
17, person, 0.53, 639, 465, 31, 73
18, person, 0.53, 867, 375, 21, 38
19, person, 0.52, 871, 497, 40, 43
20, person, 0.52, 1081, 666, 74, 121
21, person, 0.51, 757, 326, 18, 45
22, car, 0.50, 935, 336, 60, 55
23, car, 0.47, 498, 865, 277, 209
24, person, 0.47, 269, 494, 22, 42
25, car, 0.47, 976, 244, 34, 27
26, person, 0.46, 1814, 330, 48, 69
27, person, 0.46, 317, 840, 67, 83
28, person, 0.46, 699, 297, 26, 44
29, person, 0.46, 923, 321, 16, 29
30, car, 0.46, 920, 371, 61, 52
31, person, 0.46, 1125, 560, 52, 90
32, person, 0.45, 841, 409, 32, 61
33, car, 0.45, 884, 279, 38, 37
34, person, 0.44, 804, 319, 13, 35
35, person, 0.44, 802, 509, 36, 45
36, person, 0.44, 1240, 684, 74, 121
37, car, 0.44, 207, 623, 268, 211
38, person, 0.43, 810, 378, 21, 32
39, person, 0.43, 1552, 255, 24, 39
40, person, 0.43, 672, 306, 20, 38
41, car, 0.42, 868, 621, 201, 307
42, person, 0.41, 457, 278, 960, 300
43, person, 0.40, 739, 558, 41, 64
44, person, 0.40, 633, 568, 45, 105
