id, class, score, x, y, w, h
0, bus, 0.72, 586, 336, 160, 177
1, car, 0.68, 889, 400, 92, 107
2, car, 0.67, 1319, 617, 308, 279
3, car, 0.65, 1166, 481, 150, 128
4, person, 0.64, 1397, 463, 35, 44
5, car, 0.63, 1027, 381, 84, 88
6, car, 0.61, 1351, 507, 181, 145
7, motorbike, 0.60, 1336, 472, 37, 60
8, car, 0.59, 1194, 370, 83, 83
9, person, 0.58, 780, 301, 14, 38
10, car, 0.58, 1552, 651, 336, 263
11, person, 0.58, 752, 458, 34, 79
12, person, 0.58, 1335, 455, 40, 63
13, person, 0.57, 1143, 400, 29, 53
14, car, 0.56, 1242, 903, 327, 167
15, car, 0.55, 1114, 330, 61, 50
16, person, 0.54, 1288, 469, 37, 63
17, car, 0.54, 1015, 307, 57, 54
18, person, 0.54, 634, 566, 44, 53
19, person, 0.53, 639, 465, 31, 73
20, person, 0.53, 867, 375, 21, 38
21, person, 0.52, 871, 497, 40, 43
22, person, 0.52, 1081, 666, 74, 121
23, person, 0.51, 757, 326, 18, 45
24, motorbike, 0.51, 1291, 500, 34, 63
25, car, 0.50, 935, 336, 60, 55
26, motorbike, 0.50, 1144, 419, 26, 38
27, car, 0.47, 498, 865, 277, 209
28, person, 0.47, 269, 494, 22, 42
29, car, 0.47, 976, 244, 34, 27
30, person, 0.46, 1814, 330, 48, 69
31, person, 0.46, 317, 840, 67, 83
32, motorbike, 0.46, 1087, 700, 68, 142
33, person, 0.46, 699, 297, 26, 44
34, person, 0.46, 923, 321, 16, 29
35, car, 0.46, 920, 371, 61, 52
36, person, 0.46, 1125, 560, 52, 90
37, person, 0.45, 841, 409, 32, 61
38, motorbike, 0.45, 588, 584, 41, 74
39, car, 0.45, 884, 279, 38, 37
40, motorbike, 0.44, 308, 920, 149, 151
41, person, 0.44, 804, 319, 13, 35
42, person, 0.44, 802, 509, 36, 45
43, person, 0.44, 1240, 684, 74, 121
44, car, 0.44, 207, 623, 268, 211
45, motorbike, 0.44, 788, 711, 57, 151
46, person, 0.43, 810, 378, 21, 32
47, person, 0.43, 1552, 255, 24, 39
48, person, 0.43, 672, 306, 20, 38
49, motorbike, 0.43, 503, 848, 65, 119
50, car, 0.42, 868, 621, 201, 307
51, motorbike, 0.41, 682, 808, 65, 76
52, person, 0.41, 457, 278, 960, 300
53, motorbike, 0.41, 1228, 735, 87, 132
54, motorbike, 0.41, 638, 489, 34, 58
55, person, 0.40, 739, 558, 41, 64
56, person, 0.40, 633, 568, 45, 105
